s,id,date_time,airline,timezone,tweet
4,5.70287408438121E+017,2015-02-24 10:21:28 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica @virginmedia fly #fabulous #Seductive sky take #stress away travel http://t.co/ahlXHhKiyn
4,5.70285904809599E+017,2015-02-24 10:15:29 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica thank
0,5.70282469121008E+017,2015-02-24 10:01:50 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica SFO-PDX schedule still mia
4,5.70277724385735E+017,2015-02-24 09:42:59 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica excite first cross country flight lax mco hear nothing great things virgin america .# 29daystogo
0,5.70276917301137E+017,2015-02-24 09:39:46 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica fly nyc sfo last week could not fully sit seat due two large gentleman either side help
4,5.70270684619923E+017,2015-02-24 09:15:00 -0800,Virgin America,Atlantic Time (Canada), fly @VirginAmerica 
4,5.70267956648792E+017,2015-02-24 09:04:10 -0800,Virgin America,Quito,@VirginAmerica know would amazingly awesome ? BOS-FLL please !!!!!!! want fly
0,5.70265883513385E+017,2015-02-24 08:55:56 -0800,Virgin America,nan,@VirginAmerica first fare may three time carriers seat available select ???
4,5.70264145116819E+017,2015-02-24 08:49:01 -0800,Virgin America,nan,@VirginAmerica love graphic http://t.co/UT5GrRwAaA
4,5.70259420287869E+017,2015-02-24 08:30:15 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica love hipster innovation feel good brand
2,5.7025882229758E+017,2015-02-24 08:27:52 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica make bos gt las non stop permanently anytime soon ?
0,5.70256553502069E+017,2015-02-24 08:18:51 -0800,Virgin America,Mountain Time (US & Canada),@VirginAmerica guy mess seating.. reserve seat friends guy give seat away ...  want free internet
0,5.70249102404923E+017,2015-02-24 07:49:15 -0800,Virgin America,nan,@VirginAmerica status match program apply three weeks call email no response
0,5.70239632807371E+017,2015-02-24 07:11:37 -0800,Virgin America,nan,@VirginAmerica happen 2 ur vegan food options ?! least say ur site know not able 2 eat anything next 6 hrs #fail
2,5.70217831557677E+017,2015-02-24 05:44:59 -0800,Virgin America,Central Time (US & Canada),@VirginAmerica miss ? not worry together soon
0,5.70207886493782E+017,2015-02-24 05:05:28 -0800,Virgin America,nan,@VirginAmerica amaze not get cold air vent .# vx358 #noair #worstflightever #roasted #SFOtoBOS
2,5.70124596180955E+017,2015-02-23 23:34:30 -0800,Virgin America,Atlantic Time (Canada),@VirginAmerica lax ewr middle seat red eye noob maneuver .# sendambien #andchexmix
0,5.70114021854212E+017,2015-02-23 22:52:29 -0800,Virgin America,Vienna,@VirginAmerica hi bked cool birthday trip not add elevate no enter middle name flight book problems 
2,5.7009470137147E+017,2015-02-23 21:35:43 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica hours operation club sfo post online current ?
0,5.70088404156699E+017,2015-02-23 21:10:41 -0800,Virgin America,Quito,@VirginAmerica help leave expensive headphones flight 89 iad lax today seat 2a no one answer l amp f number lax
0,5.70084582780899E+017,2015-02-23 20:55:30 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica await return phone call would prefer use online self-service option :(
4,5.70076792993612E+017,2015-02-23 20:24:33 -0800,Virgin America,Central Time (US & Canada),@VirginAmerica great news america could start flight hawaii end year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
2,5.70051991277343E+017,2015-02-23 18:46:00 -0800,Virgin America,Caracas,nice rt @VirginAmerica vibe moodlight takeoff touchdown .# moodlitmonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP
4,5.70051381534396E+017,2015-02-23 18:43:35 -0800,Virgin America,nan,@VirginAmerica moodlighting way fly best experience ever cool calm  #MoodlitMonday
4,5.70045393565692E+017,2015-02-23 18:19:47 -0800,Virgin America,nan,@VirginAmerica @freddieawards best airline around hand
2,5.70038941497193E+017,2015-02-23 17:54:09 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica book flight hawaii ??
0,5.70035876845085E+017,2015-02-23 17:41:58 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica chat support not work site http://t.co/vhp2GtDWPk
4,5.70033593394668E+017,2015-02-23 17:32:54 -0800,Virgin America,nan,@VirginAmerica view downtown los angeles hollywood sign beyond rain mountains http://t.co/Dw5nf0ibtr
0,5.70025482344899E+017,2015-02-23 17:00:40 -0800,Virgin America,Central Time (US & Canada),@VirginAmerica hey first time flyer next week excite hard time get flight add elevate account help ?
2,5.70016304284901E+017,2015-02-23 16:24:11 -0800,Virgin America,nan,@VirginAmerica plz help win bid upgrade flight 2/27 lax ---& gt sea !!! 
2,5.70015408788415E+017,2015-02-23 16:20:38 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica unused ticket move new city not fly fly expire ?# travelhelp
2,5.70013523650048E+017,2015-02-23 16:13:09 -0800,Virgin America,nan,@VirginAmerica flight leave dallas seattle time feb 24 ?
4,5.7001225754907E+017,2015-02-23 16:08:07 -0800,Virgin America,nan,@VirginAmerica #elevategold good reason rock !!
2,5.70011341483844E+017,2015-02-23 16:04:28 -0800,Virgin America,nan,@VirginAmerica dream http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx
4,5.70010571707257E+017,2015-02-23 16:01:25 -0800,Virgin America,Atlantic Time (Canada),@VirginAmerica wow blow mind
2,5.70010539499393E+017,2015-02-23 16:01:17 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica @ladygaga @carrieunderwood last night #tribute #SoundOfMusic #Oscars2015 @ladygaga think @carrieunderwood agree
2,5.70009713447825E+017,2015-02-23 15:58:00 -0800,Virgin America,nan,@VirginAmerica @ladygaga @carrieunderwood entertain
2,5.70009035455345E+017,2015-02-23 15:55:18 -0800,Virgin America,Central Time (US & Canada),@VirginAmerica flight 769 way ? suppose take 30 minutes ago website still show 'On time not 'In flight '. thank
4,5.70006886012973E+017,2015-02-23 15:46:46 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica @ladygaga @carrieunderwood julie andrews way though @ladygaga impressive no @Carrieunderwood
2,5.70004391731847E+017,2015-02-23 15:36:51 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica wish fly atlanta ... soon ?
2,5.70001194900427E+017,2015-02-23 15:24:09 -0800,Virgin America,Atlantic Time (Canada),@VirginAmerica @ladygaga @carrieunderwood julie andrews hand
2,5.70000071644873E+017,2015-02-23 15:19:41 -0800,Virgin America,nan,@VirginAmerica flight leave dallas la february 24th ?
0,5.69996412286583E+017,2015-02-23 15:05:09 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica hi excite 99 LGA-& gt dal deal- try 2 book since last week amp page never load thx
4,5.69996245462159E+017,2015-02-23 15:04:29 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica know need spotify stat #guiltypleasures
4,5.69990222609412E+017,2015-02-23 14:40:33 -0800,Virgin America,Kuala Lumpur,@VirginAmerica @ladygaga @carrieunderwood lady gaga !!! amaze 
2,5.69990163209851E+017,2015-02-23 14:40:19 -0800,Virgin America,nan,@VirginAmerica @ladygaga @carrieunderwood carrie
2,5.69989504431317E+017,2015-02-23 14:37:42 -0800,Virgin America,Brisbane,@VirginAmerica new market song ? https://t.co/F2LFULCbQ7 let us know think ?
2,5.69989321698075E+017,2015-02-23 14:36:58 -0800,Virgin America,Arizona,@VirginAmerica @ladygaga @carrieunderwood julie andrews first lady gaga wow 'd last night carrie ? meh
0,5.69989034501501E+017,2015-02-23 14:35:50 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica call 3-4 weeks ago add 3 flight 2014 elevate ... still not show ... help
2,5.69987622484849E+017,2015-02-23 14:30:13 -0800,Virgin America,nan,@VirginAmerica @ladygaga @carrieunderwood great go #CarrieUnderwood 
2,5.69986782567072E+017,2015-02-23 14:26:53 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica @LadyGaga @CarrieUnderwood sorry mary martin first
4,5.69986348041548E+017,2015-02-23 14:25:09 -0800,Virgin America,nan,@VirginAmerica @ladygaga @carrieunderwood love three really not beat classics
2,5.69982307634795E+017,2015-02-23 14:09:06 -0800,Virgin America,Central Time (US & Canada),@VirginAmerica flight 0736 dal dca 2/24 2:10pm. try check could not status please
0,5.69976620158579E+017,2015-02-23 13:46:30 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica heyyyy guyyyys.. try get hour someone call please ?:/
0,5.69973821396152E+017,2015-02-23 13:35:23 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica hi virgin hold 40-50 minutes -- earlier flight la nyc tonight earlier 11:50pm?
4,5.69972508499284E+017,2015-02-23 13:30:10 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica congrats win @Travelzoo award best deal airline us http://t.co/kj1iljaebV
0,5.69967019958731E+017,2015-02-23 13:08:21 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica everything fine lose bag
2,5.69961866224652E+017,2015-02-23 12:47:52 -0800,Virgin America,Eastern Time (US & Canada),@virginamerica need change reservation virgin credit card need modify phone waive change fee ? online ?
2,5.69949891163615E+017,2015-02-23 12:00:17 -0800,Virgin America,nan,@VirginAmerica email customer service team let know need track number
2,5.69948966873371E+017,2015-02-23 11:56:37 -0800,Virgin America,London,@VirginAmerica hi book flight need add baggage ?
0,5.69946362126602E+017,2015-02-23 11:46:16 -0800,Virgin America,nan,@VirginAmerica airline awesome lax loft need step game .$ 40 dirty table floor ? http://t.co/hy0VrfhjHt
4,5.69942903683813E+017,2015-02-23 11:32:31 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica not worry great ride new plane great crew airlines like
4,5.69941957490774E+017,2015-02-23 11:28:46 -0800,Virgin America,Mountain Time (US & Canada),@VirginAmerica awesome fly sit morning way correct bill ?
2,5.69940834994401E+017,2015-02-23 11:24:18 -0800,Virgin America,Eastern Time (US & Canada),"@VirginAmerica watch best student film country 35,000 feet !# cmfat35000feet http://t.co/KEK5pDMGiF"
2,5.69940323746517E+017,2015-02-23 11:22:16 -0800,Virgin America,Mountain Time (US & Canada),@VirginAmerica first time fly different rate/policy media bag ? thank
0,5.69935232033366E+017,2015-02-23 11:02:02 -0800,Virgin America,nan,@VirginAmerica go customer service ? anyway speak human soon possible ? thank
2,5.69934395865494E+017,2015-02-23 10:58:43 -0800,Virgin America,nan,@VirginAmerica happen doom ?!
0,5.69933816963342E+017,2015-02-23 10:56:25 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica not supp biz traveler like @SouthwestAir customer service like @JetBlue #neverflyvirginforbusiness
4,5.69933777931145E+017,2015-02-23 10:56:16 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica apply member #inflight crew team ... 100 interest .# flightattendant #dreampath -G
0,5.6993340550631E+017,2015-02-23 10:54:47 -0800,Virgin America,nan,@VirginAmerica best !! whenever begrudgingly use airline delay late flight :(
0,5.69933360564343E+017,2015-02-23 10:54:36 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica no interest fly cancel flight next four flight planned.# neverflyvirginforbusiness
0,5.69929243146088E+017,2015-02-23 10:38:14 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica disappoint experience share every business traveler meet .# neverflyvirgin
0,5.69926998824395E+017,2015-02-23 10:29:19 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica trouble add flight wife book elevate account help ? http://t.co/pX8hQOKS3R
2,5.6992339499042E+017,2015-02-23 10:15:00 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica not bring reservation online use flight book problems code
2,5.69922008588222E+017,2015-02-23 10:09:30 -0800,Virgin America,nan,@VirginAmerica random q distribution elevate avatars ? bet kitty disproportionate share http://t.co/APtZpuROp4
2,5.69920824905306E+017,2015-02-23 10:04:47 -0800,Virgin America,Arizona,@VirginAmerica lt 3 fly va life happen try #change trip jperhi help.VA home page not let ?
0,5.69919041244148E+017,2015-02-23 09:57:42 -0800,Virgin America,Arizona,@VirginAmerica site ? back ?
2,5.69915941192016E+017,2015-02-23 09:45:23 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica 'You rnp ?' 'Yeah know !'
2,5.69913339427435E+017,2015-02-23 09:35:03 -0800,Virgin America,nan,@VirginAmerica hi not get point elevate account recent flight add flight point account ?
0,5.69911816937034E+017,2015-02-23 09:29:00 -0800,Virgin America,nan,@VirginAmerica like tv interest video disappoint cancel flightled flight flight go jfk saturday
0,5.69911674158731E+017,2015-02-23 09:28:26 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica land lax hour no late flight bag check not business travel friendly #nomorevirgin
2,5.69911218942517E+017,2015-02-23 09:26:37 -0800,Virgin America,nan,@VirginAmerica flight 345 redirect ?
0,5.69910981868061E+017,2015-02-23 09:25:41 -0800,Virgin America,Arizona,@VirginAmerica website ? btw new website not great user experience time another redesign
0,5.69909224521642E+017,2015-02-23 09:18:42 -0800,Virgin America,Mountain Time (US & Canada),@VirginAmerica not check add bag website not work try desktop mobile http://t.co/AvyqdMpi1Y
0,5.6990733648502E+017,2015-02-23 09:11:12 -0800,Virgin America,nan,@VirginAmerica let 2 scan passengers leave plane tell someone remove bag 1st class bin ?# uncomfortable
0,5.6989680561109E+017,2015-02-23 08:29:21 -0800,Virgin America,Eastern Time (US & Canada),@virginamerica phone number not find call flight reservation
0,5.69894449620369E+017,2015-02-23 08:19:59 -0800,Virgin America,Quito,@VirginAmerica anyone anything today ? website useless no one answer phone
2,5.6989440700194E+017,2015-02-23 08:19:49 -0800,Virgin America,nan,@VirginAmerica try add boy prince ressie sf thursday @VirginAmerica lax http://t.co/GsB2J3c4gM
0,5.69892199690678E+017,2015-02-23 08:11:03 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica must traveler miss flight late flight check bag ? miss morning appointments lose business .# sfo2lax
2,5.69891469210755E+017,2015-02-23 08:08:08 -0800,Virgin America,nan,@VirginAmerica check new music http://t.co/maRcnOCWzn
0,5.69891436100874E+017,2015-02-23 08:08:01 -0800,Virgin America,Eastern Time (US & Canada),@virginamerica direct flight FLL-& gt sfo unexpected layover vegas 4 fuel yet peep next buy vegas flight .# sneaky
0,5.69887310713479E+017,2015-02-23 07:51:37 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica no late flight bag check lose business miss flight apt three people flight exp
4,5.69887049446076E+017,2015-02-23 07:50:35 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica amaze customer service  raeann sf best !# customerservice #virginamerica #flying
0,5.69884551712887E+017,2015-02-23 07:40:39 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica call service line hang awesome .# sarcasm
0,5.69884407852438E+017,2015-02-23 07:40:05 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica site trip try check get plain text version reluctant enter card info
2,5.69881548515709E+017,2015-02-23 07:28:43 -0800,Virgin America,nan,@VirginAmerica schedule sfo 2 dal flight 714 today change 24th due weather look like flight still ?
4,5.69873669700358E+017,2015-02-23 06:57:25 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica getaway deal may 59 one-way. lot cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare
2,5.69873668131717E+017,2015-02-23 06:57:24 -0800,Virgin America,Central Time (US & Canada),@VirginAmerica getaway deal may 59 one-way. lot cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare
4,5.69873665640292E+017,2015-02-23 06:57:24 -0800,Virgin America,Central Time (US & Canada),@VirginAmerica getaway deal may 59 one-way. lot cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare
2,5.69873664612704E+017,2015-02-23 06:57:24 -0800,Virgin America,Central Time (US & Canada),@VirginAmerica getaway deal may 59 one-way. lot cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare
4,5.69872058613674E+017,2015-02-23 06:51:01 -0800,Virgin America,nan,@VirginAmerica great week 
4,5.69861209781989E+017,2015-02-23 06:07:54 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica come back #PHL already need take us horrible cold .# pleasecomeback http://t.co/gLXFwP6nQH
0,5.69847920192655E+017,2015-02-23 05:15:06 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica concern fly plane need delay due 'tech stop '?
4,5.69814339785339E+017,2015-02-23 03:01:39 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica best airline fly on.Easy change reservation helpful representatives amp comfortable fly experience
4,5.69777607371129E+017,2015-02-23 00:35:42 -0800,Virgin America,nan,@VirginAmerica another rep kick butt naelah represent team beautifully !! thank !!!
4,5.6977407823342E+017,2015-02-23 00:21:40 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica beautiful front-end design right cool still book ticket b/c back-end secure
4,5.69770363623576E+017,2015-02-23 00:06:55 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica love team run gate e9 las tonight wait delay flight keep things entertain
0,5.69748316776325E+017,2015-02-22 22:39:18 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica use another browser 2015 amp brand reputation build tech response not cross-browser compatible website ?
0,5.69741221783958E+017,2015-02-22 22:11:07 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica flight flight book problems site totally folks problem ?
0,5.69737603617944E+017,2015-02-22 21:56:44 -0800,Virgin America,nan,@VirginAmerica like customer service 40 min delay connect passengers seem long va370
4,5.69714127792255E+017,2015-02-22 20:23:27 -0800,Virgin America,nan,@VirginAmerica thank outstanding NYC-JFK crew move mountains get home san francisco tonight
4,5.69675144353829E+017,2015-02-22 17:48:33 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica absolute best team customer service ever every time fly delight thank
2,5.69674358135915E+017,2015-02-22 17:45:25 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica provide complimentary upgrade first class available seat ?
0,5.69666477265019E+017,2015-02-22 17:14:06 -0800,Virgin America,Tehran,@VirginAmerica need change flight schedule 9 hours 120 min wait time phone call intern help !!
4,5.69652497947734E+017,2015-02-22 16:18:33 -0800,Virgin America,nan,@VirginAmerica completely awesome experience last month BOS-LAS nonstop thank awesome flight depart time .# vabeatsjblue
2,5.69649116487291E+017,2015-02-22 16:05:07 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica watch #Oscars2015 JFK-& gt sfo flight ?
2,5.69643262459269E+017,2015-02-22 15:41:51 -0800,Virgin America,nan,@VirginAmerica flight 882 cancel flightled ?
0,5.69642845516276E+017,2015-02-22 15:40:12 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica fail customers check process not link tsa pre-check.
0,5.69634318349246E+017,2015-02-22 15:06:19 -0800,Virgin America,nan,@VirginAmerica @FiDiFamilies us terrible airline give us hotel hotline number say sorry
2,5.6963363097831E+017,2015-02-22 15:03:35 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica flight number 276 sfo cabo san lucas arrive yet ?
0,5.69633279546036E+017,2015-02-22 15:02:11 -0800,Virgin America,nan,@VirginAmerica @ChrysiChrysic assistance yesterday cancel flightled flight give us hotel hotline shame
0,5.6963009227341E+017,2015-02-22 14:49:31 -0800,Virgin America,Alaska,@VirginAmerica another delay flight ?# likingyoulessandless
0,5.69627480425767E+017,2015-02-22 14:39:09 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica need register service dog first class ticket sfo gt dull phone queue hour longer pls advise
4,5.69625739231949E+017,2015-02-22 14:32:14 -0800,Virgin America,Mountain Time (US & Canada),@virginamerica rock make watch #Oscars flight !!# redcarpet #oscars #oscars2015
2,5.69625609799774E+017,2015-02-22 14:31:43 -0800,Virgin America,nan,"@VirginAmerica ,@ reallytallchris drop track ... https://t.co/zv2pt6TRK9"
4,5.6962010238935E+017,2015-02-22 14:09:50 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica always !!! xoxo
0,5.69619569372824E+017,2015-02-22 14:07:43 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica not book seat flight buy even check ? create much anxiety !# frustrate
0,5.69618527948116E+017,2015-02-22 14:03:34 -0800,Virgin America,Alaska,@VirginAmerica would think pay extra 100 buck rt luggage might afford hire extra hand @sfo #lame
4,5.6961649038044E+017,2015-02-22 13:55:28 -0800,Virgin America,nan,@VirginAmerica best customer service rep world !# irmafromdallas take cake !!!
2,5.69615109363929E+017,2015-02-22 13:49:59 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica find us flt lax sooner midnight monday ? would great customer service 
0,5.696143657559E+017,2015-02-22 13:47:02 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica please provide status flight 769 not imagine time web indicate dude weather and/or dallas
4,5.69614024578601E+017,2015-02-22 13:45:41 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica amaze staff amp super helpful run @WaltDisneyWorld #PrincessHalf spoil comfort !!!
0,5.69609971383587E+017,2015-02-22 13:29:34 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica pay premium fly across country cancel flight flight offer no check fee upgrade love ? sad face :(
0,5.69608328998887E+017,2015-02-22 13:23:03 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica question not possible book seat infant 2 ? not give option want seat
4,5.69599867716133E+017,2015-02-22 12:49:25 -0800,Virgin America,Pacific Time (US & Canada),always together !!! welcome rt @VirginAmerica :@ jessicajaymes welcome
4,5.69596445680116E+017,2015-02-22 12:35:49 -0800,Virgin America,Eastern Time (US & Canada),@virginamerica #flight home #dc #sunset #globe '# backtowinter back #work !# refresh http://t.co/VX9vBCTdLf
0,5.69596097540133E+017,2015-02-22 12:34:26 -0800,Virgin America,Pacific Time (US & Canada),.@ virginamerica not understand need dm give answer damage luggage policy
0,5.69594386066985E+017,2015-02-22 12:27:38 -0800,Virgin America,Pacific Time (US & Canada),.@ virginamerica mean not policy destroy luggage ?
2,5.69586660909974E+017,2015-02-22 11:56:57 -0800,Virgin America,Atlantic Time (Canada),@VirginAmerica special assistance travel alone w/2 kid 1 infant ? priority board ?
4,5.69580805036454E+017,2015-02-22 11:33:40 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica thank check ticket purchase customer happy ;-)
2,5.69575679722787E+017,2015-02-22 11:13:18 -0800,Virgin America,nan,@VirginAmerica website ever come back online ?
2,5.69575003248677E+017,2015-02-22 11:10:37 -0800,Virgin America,nan,@VirginAmerica flight 713 love field sfo definitely cancel flightled monday february 23 ?
2,5.69574973662233E+017,2015-02-22 11:10:30 -0800,Virgin America,nan,@VirginAmerica flight 0769 lga dfw time ?
2,5.69574961158816E+017,2015-02-22 11:10:27 -0800,Virgin America,nan,@VirginAmerica drivers license expire little month fly friday morning use expire license ?
0,5.6957294238165E+017,2015-02-22 11:02:26 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica problems flight book problems web site keep give error contact phone phone 30 minute wait
0,5.69572740723712E+017,2015-02-22 11:01:38 -0800,Virgin America,nan,@VirginAmerica reschedule cancel flightled flight online ? change button grey
0,5.69566981835219E+017,2015-02-22 10:38:45 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica ring wait 35 minutes !! book ticket vendor fix site
0,5.69564853460808E+017,2015-02-22 10:30:17 -0800,Virgin America,Eastern Time (US & Canada),"@VirginAmerica get flight tell 4:50 today.., check email 4 50 tomorrow unacceptable"
0,5.69564610837086E+017,2015-02-22 10:29:19 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica flight lga cancel flight stick dallas call reschedule tell could get flight today ...( 1/2)
0,5.6956220240502E+017,2015-02-22 10:19:45 -0800,Virgin America,Eastern Time (US & Canada),@virginamerica not pair include red wine ?! white offer :(# redwineisbetter
0,5.6954112734004E+017,2015-02-22 08:56:00 -0800,Virgin America,nan,@VirginAmerica website ?
0,5.69540405676655E+017,2015-02-22 08:53:08 -0800,Virgin America,nan,@VirginAmerica site seem little wonked right may want look try two browsers no css ? http://t.co/8qsQMM7KF2
0,5.69494748341408E+017,2015-02-22 05:51:43 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica disappoint agent designate silver status check line @Dulles_Airport close assist pasengers
2,5.69482263345308E+017,2015-02-22 05:02:06 -0800,Virgin America,Sydney,@VirginAmerica plan include austin dallas route topnews arab #Emirates http://t.co/aqZWecOkk2
0,5.69477692166316E+017,2015-02-22 04:43:56 -0800,Virgin America,Irkutsk,@VirginAmerica normal receive no reply central baggage #baggageissues #smh
0,5.69461469042967E+017,2015-02-22 03:39:28 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica logan airport wait checkin 9am flight checkin desk not open !!!!! ?!
2,5.6945961888102E+017,2015-02-22 03:32:07 -0800,Virgin America,Sydney,@VirginAmerica jump Dallas-Austin market -@ dallas_news http://t.co/EwwGi97gdx
2,5.69452063920226E+017,2015-02-22 03:02:06 -0800,Virgin America,Sydney,@VirginAmerica beat eps view take #SouthwestAir va luv investor 's business daily http://t.co/FLwmGDAHxu
2,5.69447071910105E+017,2015-02-22 02:42:16 -0800,Virgin America,nan,@VirginAmerica lister show monday 1230 130
2,5.69429411646157E+017,2015-02-22 01:32:05 -0800,Virgin America,Sydney,@VirginAmerica begin Dallas-Austin# flight april 88.9 ketr http://t.co/SSUVWwkyHH
0,5.69369239183872E+017,2015-02-21 21:32:59 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica congrats get business ewr SFO/LAX. fuck @united fl1289 SFO/EWR clincher ...
0,5.69368160291463E+017,2015-02-21 21:28:42 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica apply 2 weeks ago not hear back fly week #disappointed
2,5.693563877859E+017,2015-02-21 20:41:55 -0800,Virgin America,Pacific Time (US & Canada),@VirginAmerica would love know policy damage luggage
4,5.69354267854705E+017,2015-02-21 20:33:30 -0800,Virgin America,Eastern Time (US & Canada),@VirginAmerica thank follow
